No.168 รายงานผล,Lab Code,รายงานผล,RBC,WBC,PLT,Hb,Hct,MCV,MCH,MCHC,Unnamed: 11,RBC.1,WBC.1,PLT.1,Hb.1,Hct.1,MCV.1,MCH.1,MCHC.1,Unnamed: 20,Brand_N,Brand_N.1,B_M_No,3.1.2 รุ่น (Model) หากไม่มีชื่อในรายการ กรุณาเลือกอื่นๆ,โปรดระบุชื่อเครื่องมือ (Brand) หากไม่มีชื่อในรายการ,โปรดระบุชื่อรุ่น (Model) หากไม่มีชื่อในรายการ,3.1.3 ชื่อรุ่น (Model),วันที่ส่งวัตถุทดสอบ,ข้อเสนอแนะ,หมายเหตุ,หมายเหตุ แจ้งวัตถุทดสอบเสีย,Labcode_HM เดิม,Type
2,00002,R,2.17,1.43,53,5.4,16.4,75.6,24.9,32.9,,4.34,8.6,568,15.2,45.2,104.1,35,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",XN-1000,,XN-1000,21 พฤษภาคม 2568,,,,HM 1364,NGPH
6,00006,R,2.19,1.42,56,5.4,16.5,75.3,24.7,32.7,,4.29,17.33,574,15.3,45.2,105.4,35.7,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 32,DH
9,00009,R,2.18,1.43,62,5.3,16.5,75.7,24.3,32.1,,5.31,19.12,583,15.4,46.4,87.4,29,33.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 901,NGPH
18,00018,R,2.14,1.31,96,5.4,22.7,106.1,25.2,23.8,,5.4,8.21,594,15.7,46.2,85.6,29.1,34,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1536,NGPH
30,00030,R,2.15,1.48,55,5.4,16.4,76.3,25.1,32.9,,5.28,19.22,595,15.4,46.6,88.3,29.2,33,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-3100,21 พฤษภาคม 2568,,,,HM 866,NGPH
32,00032,R,2.25,1.53,64,5.5,17.1,76,24.4,32.2,,5.26,19.08,578,15.5,45.9,87.3,29.5,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",XN-1000,,-,21 พฤษภาคม 2568,,,,HM 1422,GNPH
56,00056,R,2.21,1.57,64,5.4,17,76.9,24.4,31.8,,5.31,19.18,575,15.3,46.9,88.3,28.8,32.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,-,,,HM 1233,NGPH
60,00060,R,2.25,1.49,66,5.5,16.9,75.1,24.4,32.5,,4.37,17.94,568,15.3,46.1,105.5,35,33.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-1500,14 พฤษภาคม 2568,,,,HM 1112,GNPH
72,00072,R,2.17,1.45,69,5.4,16.4,75.6,24.9,32.9,,4.92,18.53,609,15.3,49.6,100.8,31.1,30.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN 1000,14 พฤษภาคม 2568,,,,HM 880,NGPH
78,00078,R,2.2,1.5,60,5.4,17,77.3,24.5,31.8,,5.44,19.11,613,15.5,48,88.2,28.5,32.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3100,14 พฤษภาคม 2568,,,,HM 846,NGPH
79,00079,R,2.19,1.46,50,5.3,16.5,75.3,24.2,32.1,,4.51,17.27,553,15.3,47.1,104.4,33.9,32.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1390,GNPH
81,00081,R,2.25,1.51,65,5.5,16.7,74.2,24.4,32.9,,5.25,18.87,592,15.4,45.1,85.9,29.3,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,,,,HM 823,NGPH
83,00083,R,2.2,1.53,58,5.3,16.6,76,24.4,32.1,,4.29,17.86,590,15.1,44.7,104.8,35,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 806,NGPH
86,00086,R,2.2,1.41,62,5.4,16.2,73.6,24.5,33.3,,5.29,18.71,581,15.5,45.2,85.4,29.3,34.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-1000,14 พฤษภาคม 2568,,,,HM 1850,NGPH
